Annee;Serie;Code_Station;Id_Operation;Code_PMFM;Libelle_PMFM;Valeur
2 016;Campagne CGFS;U0433;40;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0434;41;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0435;42;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0436;43;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0437;44;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0438;45;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0439;46;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0440;47;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0444;48;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0445;49;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0446;50;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0447;51;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0449;52;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0451;53;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0452;54;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0453;55;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";15.0
2 016;Campagne CGFS;U0454;56;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0455;57;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0458;58;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0459;59;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";19.0
2 016;Campagne CGFS;U0460;60;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0461;61;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0462;62;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0463;63;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0464;64;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0465;65;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0466;66;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";14.0
2 016;Campagne CGFS;U0467;67;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0468;68;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0469;69;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0470;70;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";16.0
2 016;Campagne CGFS;U0471;71;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0472;72;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0473;73;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";18.0
2 016;Campagne CGFS;U0474;74;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0475;75;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";17.0
2 016;Campagne CGFS;U0477;76;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.15
2 016;Campagne CGFS;U0480;79;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.161062
2 016;Campagne CGFS;U0483;81;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.233103
2 016;Campagne CGFS;U0485;82;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.732813
2 016;Campagne CGFS;U0489;84;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.224562
2 016;Campagne CGFS;U0494;88;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.888695
2 016;Campagne CGFS;U0498;91;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";20.792105
2 016;Campagne CGFS;U0500;92;829;"""Ouverture Horizontale aux pointes d'ailes - opération - totale - Calculé, méthode inconnue""";21.0
2 017;Campagne CGFS;V0391;1;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;14.250416
2 017;Campagne CGFS;V0392;2;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.942974
2 017;Campagne CGFS;V0393;3;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.22238
2 017;Campagne CGFS;V0396;4;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;17.1
2 017;Campagne CGFS;V0397;5;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;17.0
2 017;Campagne CGFS;V0398;6;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.3
2 017;Campagne CGFS;V0399;7;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.8
2 017;Campagne CGFS;V0400;8;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;13.8
2 017;Campagne CGFS;V0401;9;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.6
2 017;Campagne CGFS;V0402;10;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.8
2 017;Campagne CGFS;V0403;11;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.9
2 017;Campagne CGFS;V0405;12;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.9
2 017;Campagne CGFS;V0406;13;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.713842
2 017;Campagne CGFS;V0409;14;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.2
2 017;Campagne CGFS;V0410;15;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.2
2 017;Campagne CGFS;V0411;16;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.7
2 017;Campagne CGFS;V0412;17;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.6
2 017;Campagne CGFS;V0413;18;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;14.0
2 017;Campagne CGFS;V0414;19;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;15.4
2 017;Campagne CGFS;V0416;20;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.0
2 017;Campagne CGFS;V0417;21;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;14.9
2 017;Campagne CGFS;V0418;22;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;14.8
2 017;Campagne CGFS;V0419;23;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;13.8
2 017;Campagne CGFS;V0420;24;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;13.3
2 017;Campagne CGFS;V0421;25;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.077038
2 017;Campagne CGFS;V0422;26;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.2
2 017;Campagne CGFS;V0423;27;828;Ouverture Horizontale aux pointes d'ailes - opération - totale - Instrument de bord;16.093796
